Gisswitchgear_iri,switchgear-asset-identifier-code,rated-voltage-ur,name,country-of-installation,end-customer,LIPROGIS,switchgear-installation-location-type,switchgear-product-type,VDB-number
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10319_AU%3A+P-020110+B2714+Terminal+Substation+%28BGPM%29+115+kV,BMK,115.0,115 kV Terminal Substation (BGPM),http://ontology.siemens.com/shared/geography/country/did/0.4#Th,B-Grimm,10319,Innen,8dn85,
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10338_AU%3A+P-018855+B1994+Toneys+Brook+69kV+PSE%26G,RFK,69.0,TONEY'S BROOK 69kV,http://ontology.siemens.com/shared/geography/country/did/0.4#Us,PSE&G,10338,Außen,8dn85,35520
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10342_AU%3A+P-018785+WASIT+POWER+STATION+132+kV+%28vorher+WASIT%29,BMK,132.0,WASIT Power Plant 132kV,UAE,MoE,10342,Außen,8dn85,
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10368_AU%3A+P-018852+B1989+BEL+Turnhout,RFK,123.0,Turnhout,http://ontology.siemens.com/shared/geography/country/did/0.4#Be,ELIA  ASSET NV/SA,10368,Innen,8dn85,
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10434_AU%3A+P-019742-P-019743+B2320+115+kV+GPSC+Cup+4+Extension+%3DE06%2C+%3DE07,BMK,0.0,115 kV GPSC Cup 4 Extension,http://ontology.siemens.com/shared/geography/country/did/0.4#Th,Global Power Synergy Public Co. Ltd,10434,Innen,8dn85,
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10435_P-019074+B2070+Marche-les-Dames+70kV,RFK,70.0,Marche-les-Dames 70kV,http://ontology.siemens.com/shared/geography/country/did/0.4#Be,ELIA  ASSET NV/SA,10435,Innen,8dn85,
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10436_AU%3A+P-019073+B2074+BEL+Warnant++70+kV+,RFK,123.0,Warnant  70 kV ,http://ontology.siemens.com/shared/geography/country/did/0.4#Be,ELIA  ASSET NV/SA,10436,Innen,8dn85,
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10454_AU%3A+P-019359+B2134+DEU+UW+Burladingen+-+Digitale+Blue+GIS+,RFK,123.0,UW Burladingen - Digitale Blue GIS,http://ontology.siemens.com/shared/geography/country/did/0.4#De,Netze BW,10454,Innen,8VN1-1,
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10457_AU%3A+P-019619+B2190+USA+Rio+Oso+Substation+115+kV,RFK,115.0,Rio Oso Substation,http://ontology.siemens.com/shared/geography/country/did/0.4#Us,PG&E,10457,Innen,8dn85,35434
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10458_AU%3A+P-019619+B2189+USA+Rio+Oso+Substation+230+kV+,RFK,230.0,Rio Oso Substation,http://ontology.siemens.com/shared/geography/country/did/0.4#Us,PG&E,10458,,8dn92,35434
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10462_AU%3A+P-017971+B1587+DUB+Series+Reactor+SRSBM,BMK,420.0,Series Reactor SRSBM,DUB,DEWA,10462,Außen,Busduct,
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10486_AU%3A+P-018482+B1821+Taif+Water+Transmission+System+%28WTS%29,BMK,110.0,Taif Water Transmission System (WTS),SAR,Water SEC,10486,Innen,8dn85,
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10518_AU%3A+P-019682+B2273+SALINAS+66+kV+DB+-+ENDESA+f%C3%BCr+REE+-+SPA,BMK,66.0,AMPLIACIÓN SUBESTACIÓN LAS SALINAS,SPA,ENDESA,10518,Innen,8dn85,35385
