substation_iri,bay_iri
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10196_AU%3A+P-018783+A5078+Poste+de+Lillo+150+kV+Extension+2,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10196_AU%3A+P-018783+A5078+Poste+de+Lillo+150+kV+Extension+2/AU%3A+P-018783+A5078+Poste+de+Lillo+150+kV+Extension+2%2FE15
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10196_AU%3A+P-018783+A5078+Poste+de+Lillo+150+kV+Extension+2,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10196_AU%3A+P-018783+A5078+Poste+de+Lillo+150+kV+Extension+2/AU%3A+P-018783+A5078+Poste+de+Lillo+150+kV+Extension+2%2FE18
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10196_AU%3A+P-018783+A5078+Poste+de+Lillo+150+kV+Extension+2,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10196_AU%3A+P-018783+A5078+Poste+de+Lillo+150+kV+Extension+2/AU%3A+P-018783+A5078+Poste+de+Lillo+150+kV+Extension+2%2FE20
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10196_AU%3A+P-018783+A5078+Poste+de+Lillo+150+kV+Extension+2,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10196_AU%3A+P-018783+A5078+Poste+de+Lillo+150+kV+Extension+2/AU%3A+P-018783+A5078+Poste+de+Lillo+150+kV+Extension+2%2FE21
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10196_AU%3A+P-018783+A5078+Poste+de+Lillo+150+kV+Extension+2,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10196_AU%3A+P-018783+A5078+Poste+de+Lillo+150+kV+Extension+2/AU%3A+P-018783+A5078+Poste+de+Lillo+150+kV+Extension+2%2FE23
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10196_AU%3A+P-018783+A5078+Poste+de+Lillo+150+kV+Extension+2,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10196_AU%3A+P-018783+A5078+Poste+de+Lillo+150+kV+Extension+2/AU%3A+P-018783+A5078+Poste+de+Lillo+150+kV+Extension+2%2FE24
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10196_AU%3A+P-018783+A5078+Poste+de+Lillo+150+kV+Extension+2,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10196_AU%3A+P-018783+A5078+Poste+de+Lillo+150+kV+Extension+2/AU%3A+P-018783+A5078+Poste+de+Lillo+150+kV+Extension+2%2FE25
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10196_AU%3A+P-018783+A5078+Poste+de+Lillo+150+kV+Extension+2,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10196_AU%3A+P-018783+A5078+Poste+de+Lillo+150+kV+Extension+2/AU%3A+P-018783+A5078+Poste+de+Lillo+150+kV+Extension+2%2FE26
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10196_AU%3A+P-018783+A5078+Poste+de+Lillo+150+kV+Extension+2,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10196_AU%3A+P-018783+A5078+Poste+de+Lillo+150+kV+Extension+2/AU%3A+P-018783+A5078+Poste+de+Lillo+150+kV+Extension+2%2FE04
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10196_AU%3A+P-018783+A5078+Poste+de+Lillo+150+kV+Extension+2,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10196_AU%3A+P-018783+A5078+Poste+de+Lillo+150+kV+Extension+2/AU%3A+P-018783+A5078+Poste+de+Lillo+150+kV+Extension+2%2FE12
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10196_AU%3A+P-018783+A5078+Poste+de+Lillo+150+kV+Extension+2,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10196_AU%3A+P-018783+A5078+Poste+de+Lillo+150+kV+Extension+2/AU%3A+P-018783+A5078+Poste+de+Lillo+150+kV+Extension+2%2FE13
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10196_AU%3A+P-018783+A5078+Poste+de+Lillo+150+kV+Extension+2,http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10196_AU%3A+P-018783+A5078+Poste+de+Lillo+150+kV+Extension+2/AU%3A+P-018783+A5078+Poste+de+Lillo+150+kV+Extension+2%2FE17
